title,sha1,url,exists_on_commons,Beschreibung,Erstellungsdatum,Erstellungsjahr,Lizenz,Person,Quellangaben,Urheber
Datei:'Alter' Gänsberg.jpg,430992014ffa0075f5a24d97d2163a6f27f61769,https://www.fuerthwiki.de/wiki/index.php/Datei:'Alter'_Gänsberg.jpg,False,"Luftbild des ""alten"" Gänsbergs zu Beginn der [[Flächensanierung]], ca. 1971",,,cc-by-sa-3.0,,,
"Datei:'Würfel, Andreas Historische Nachricht Von der Judengemeinde in dem Hofmarkt Fürth, 1754.png",040fc69c09ad305a7f3563dafa333828caa23c68,"https://www.fuerthwiki.de/wiki/index.php/Datei:'Würfel,_Andreas_Historische_Nachricht_Von_der_Judengemeinde_in_dem_Hofmarkt_Fürth,_1754.png",False,"Titelblatt: Andreas Würfel, Historische Nachricht Von der Judengemeinde in dem Hofmarkt Fürth, 1754","{'timestamp': '-6816268800', 'raw': '1/1754'}","{'fulltext': '1754', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=1754', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",cc-by-sa-3.0,,"'Würfel, Andreas, Historische Nachricht Von der Judengemeinde in dem Hofmarkt Fürth",Andreas Würfel
Datei:(c)Nussbaecher 0352 mit filter.jpg,cdb15fa61d5b7ce5abab6aa9f0cf71a20541370f,https://www.fuerthwiki.de/wiki/index.php/Datei:(c)Nussbaecher_0352_mit_filter.jpg,False,"Studierende im Südstadtpark vor dem Gebäude der SRH WLH Fürth, 2022","{'timestamp': '1659398400', 'raw': '1/2022/8/2'}","{'fulltext': '2022', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=2022', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",copyright,,SRH Wilhelm-Löhe-Hochschule,Kerstin Nussbächer
Datei:(c)Nussbaecher 0368.jpg,4e027a3a62043432466c4e7eca6f8aa7fffdc229,https://www.fuerthwiki.de/wiki/index.php/Datei:(c)Nussbaecher_0368.jpg,False,"Studierende im Südstadtpark vor dem Gebäude der SRH WLH Fürth, 2022","{'timestamp': '1659398400', 'raw': '1/2022/8/2'}","{'fulltext': '2022', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=2022', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",copyright,,SRH Wilhelm-Löhe-Hochschule,Kerstin Nussbächer
Datei:- Tagaktiv 10-12-23 vertikal.pdf,c6e8d668c5565be31a239c29ec67b40e1db1810a,https://www.fuerthwiki.de/wiki/index.php/Datei:-_Tagaktiv_10-12-23_vertikal.pdf,False,,"{'timestamp': '1696118400', 'raw': '1/2023/10'}","{'fulltext': '2023', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=2023', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",,,,
"Datei:-®Stadt Fürth, Bürgermeister- und Presseamt 2020.jpg",5f51634a9d6bbb12a8df666b95abce51923742d7,"https://www.fuerthwiki.de/wiki/index.php/Datei:-®Stadt_Fürth,_Bürgermeister-_und_Presseamt_2020.jpg",False,"Therese Hein-Sörgel und Dr. Thomas Jung 2020, mit freundlicher Genehmigung der Stadt Fürth, Bürgermeister- und Presseamt","{'timestamp': '1577836800', 'raw': '1/2020'}","{'fulltext': '2020', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=2020', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",copyright,"{'fulltext': 'Therese Hein-Sörgel', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=Therese_Hein-S%C3%B6rgel', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",Therese Hein-Sörgel,"Stadt Fürth, Bürgermeister- und Presseamt 2020"
Datei:001 Friedhof-Rundgang .jpg,cec070b8cae99f358c3bed2103f0af99d965cb1e,https://www.fuerthwiki.de/wiki/index.php/Datei:001_Friedhof-Rundgang_.jpg,False,,"{'timestamp': '1149120000', 'raw': '1/2006/6/1'}","{'fulltext': '2006', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=2006', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",cc-by-sa-3.0,,[[Peter Frank]],[[Peter Frank]]
Datei:002 Friedhof-Rundgang.jpeg,c0de41a28113be439570a0977c9482b34cbc2778,https://www.fuerthwiki.de/wiki/index.php/Datei:002_Friedhof-Rundgang.jpeg,False,,"{'timestamp': '1149120000', 'raw': '1/2006/6/1'}","{'fulltext': '2006', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=2006', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",cc-by-sa-3.0,,[[Peter Frank]],[[Peter Frank]]
Datei:01 1928 Briefbogen.jpeg,d33d12fb6f2474773a6d7ccb4dbe9edd17059a66,https://www.fuerthwiki.de/wiki/index.php/Datei:01_1928_Briefbogen.jpeg,False,"Briefbogen Verkehrsverein, 1928","{'timestamp': '-1325462400', 'raw': '1/1928'}","{'fulltext': '1928', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=1928', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",Bildlizenz-Stadtarchiv,,[[Stadtarchiv]] Fürth,Verkehrsverein
Datei:0108Show2023.jpg,7a86653768632c9cafbf5c58e7c4e701e42d7bc6,https://www.fuerthwiki.de/wiki/index.php/Datei:0108Show2023.jpg,False,Dullnraamer-Sidzung im Februar 2023 - Kulturforum Fürth,"{'timestamp': '1675987200', 'raw': '1/2023/2/10'}","{'fulltext': '2023', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=2023', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",cc-by-sa-3.0,"{'fulltext': 'Rike Frohberger', 'fullurl': '//www.fuerthwiki.de/wiki/index.php?title=Rike_Frohberger', 'namespace': 0, 'exists': '1', 'displaytitle': ''}",[[Benutzer:Projektspezialist]],[[Benutzer:Projektspezialist]]
